medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Bronze,Irish Prenup,Barley Naked Brewing Co.,Stafford,VA,Sweet Stout or Cream Stout,2020,stout,40815,South,Virginia,South Atlantic
Gold,RhinO'fest,Lost Rhino Brewing Co.,Ashburn,VA,Vienna-Style Lager,2020,lager,40815,South,Virginia,South Atlantic
Silver,Vienna Lager,East Rock Brewing Co.,New Haven,CT,Vienna-Style Lager,2020,lager,5009,Northeast,Connecticut,New England
Gold,Afternoon Delight,Sun King Brewery - Indianapolis,Indianapolis,IN,Wood- and Barrel-Aged Beer,2020,aged,36291,North Central,Indiana,East North Central
Silver,Amburana Graham Cracker Porter,Denver Beer Co.,Denver,CO,Wood- and Barrel-Aged Beer,2020,aged,104247,West,Colorado,Mountain
Gold,Cuvee De Funk,Lone Pine Brewing Co.,Portland,ME,Wood- and Barrel-Aged Sour Beer,2020,aged,33215,Northeast,Maine,New England
Silver,Triad Blanc,IMBIB Custom Brews,Reno,NV,Wood- and Barrel-Aged Sour Beer,2020,aged,110540,West,Nevada,Mountain
Bronze,Freedom 7,True Anomaly Brewing Co.,Houston,TX,Wood- and Barrel-Aged Sour Beer,2020,aged,267339,South,Texas,West South Central
Gold,Amburana Dream,Denver Beer Co. - Olde Town Arvada,Arvada,CO,Wood- and Barrel-Aged Strong Beer,2020,aged,104247,West,Colorado,Mountain
Silver,Bourbon B.A. Big Game,Bravery Brewing,Lancaster,CA,Wood- and Barrel-Aged Strong Beer,2020,aged,158693,West,California,Pacific
Gold,A Night to End All Dawns,Kane Brewing Co.,Ocean,NJ,Wood- and Barrel-Aged Strong Stout,2020,stout,7836,Northeast,New Jersey,Middle Atlantic
Silver,Ruckus,Melvin Brewing - Thai Me Up,Jackson,WY,Wood- and Barrel-Aged Strong Stout,2020,stout,97914,West,Wyoming,Mountain
Bronze,Grasp of Oak,Moksa Brewing Co.,Rocklin,CA,Wood- and Barrel-Aged Strong Stout,2020,stout,158693,West,California,Pacific
Bronze,Mob Barley,Meadowlark Brewing,Sidney,MT,Aged Beer,2019,aged,147138,West,Montana,Mountain
Silver,Tank 7 Farmhouse Ale,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2019,ale,69686,North Central,Missouri,West North Central
Bronze,White Rainbow,Red Rock Brewery - Production,Salt Lake City,UT,American-Belgo-Style Ale,2019,ale,84916,West,Utah,Mountain
Gold,MC3=A4rzen,Sudwerk Brewing Co.,Davis,CA,American-Style Amber Lager,2019,lager,158693,West,California,Pacific
Silver,Oktoberfest,Huss Brewing Co.,Tempe,AZ,American-Style Amber Lager,2019,lager,113909,West,Arizona,Mountain
Bronze,Grist Maerzen,Grist Brewing Co.,Highlands Ranch,CO,American-Style Amber Lager,2019,lager,104247,West,Colorado,Mountain
Bronze,Red Alert,Aftershock Brewing Co.,Temecula,CA,American-Style Amber/Red Ale,2019,ale,158693,West,California,Pacific
Gold,Alpha Force Double Tap,C3=9Cberbrew,Billings,MT,American-Style Black Ale,2019,ale,147138,West,Montana,Mountain
Silver,Bowie Knife,Thunderhawk Alements,San Diego,CA,American-Style Black Ale,2019,ale,158693,West,California,Pacific
Bronze,Turmoil,Barley Brown's Beer,Baker City,OR,American-Style Black Ale,2019,ale,96981,West,Oregon,Pacific
Silver,Bull Creek Brown Ale,Springfield Brewing Co.,Springfield,MO,American-Style Brown Ale,2019,ale,69686,North Central,Missouri,West North Central
Bronze,Browner Than Ivan,Chula Vista Brewery,Chula Vista,CA,American-Style Brown Ale,2019,ale,158693,West,California,Pacific
Gold,Sea SeC3=B1or! Mex Lager,SouthNorte Beer Co.,San Diego,CA,American-Style Cream Ale,2019,ale,158693,West,California,Pacific
Silver,Los DudesE2=80=99 Cerveza Lager Mexic=ana,The Dudes' Brewing Co.,Torrance,CA,American-Style Cream Ale,2019,ale,158693,West,California,Pacific
Bronze,Gold Style,Ballast Point Brewing Co. - Chicago,Chicago,IL,American-Style Cream Ale,2019,ale,56400,North Central,Illinois,East North Central
Gold,Salt River,Historic Brewing Co.,Flagstaff,AZ,American-Style Fruit Beer,2019,fruit,113909,West,Arizona,Mountain
Silver,Quat,Tampa Bay Brewing Co. - Ybor City,Tampa,FL,American-Style Fruit Beer,2019,fruit,58560,South,Florida,South Atlantic
Bronze,Boom Dynamite,O.H.S.O. Brewery + Distillery,Phoenix,AZ,American-Style Fruit Beer,2019,fruit,113909,West,Arizona,Mountain
Gold,More Dodge Less RAM,Comrade Brewing Co.,Denver,CO,American-Style India Pale Ale,2019,ale,104247,West,Colorado,Mountain
Gold,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American-Style Lager or American-Style Pilsener,2019,lager,56400,North Central,Illinois,East North Central
Silver,Valley Beer,Wren House Brewing Co.,Phoenix,AZ,American-Style Lager or American-Style Pilsener,2019,lager,113909,West,Arizona,Mountain
Bronze,Schaben's,Thunderhead Brewing Co.,Kearney,NE,American-Style Lager or American-Style Pilsener,2019,lager,77227,North Central,Nebraska,West North Central
Gold,Johnny Utah,Georgetown Brewing Co.,Seattle,WA,American-Style Pale Ale,2019,ale,68192,West,Washington,Pacific
Silver,Acclimated APA,La Cumbre Brewing Co.,Albuquerque,NM,American-Style Pale Ale,2019,ale,121666,West,New Mexico,Mountain
Bronze,Breakside Woodlawn Pale Ale,Breakside Brewery,Portland,OR,American-Style Pale Ale,2019,ale,96981,West,Oregon,Pacific
Gold,Low pHunk,MobCraft Beer,Milwaukee,WI,American-Style Sour Ale,2019,ale,56154,North Central,Wisconsin,East North Central
Silver,Alegria,Millersburg Brewing,Millersburg,OH,American-Style Sour Ale,2019,ale,41222,North Central,Ohio,East North Central
Gold,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2019,stout,83557,West,Idaho,Mountain
Gold,Superpower IPA,Comrade Brewing Co.,Denver,CO,American-Style Strong Pale Ale,2019,ale,104247,West,Colorado,Mountain
Silver,NoPac IPA,Crossbuck Brewing,Walla Walla,WA,American-Style Strong Pale Ale,2019,ale,68192,West,Washington,Pacific
Bronze,JAF IPA,JAFB Wooster Brewery,Wooster,OH,American-Style Strong Pale Ale,2019,ale,41222,North Central,Ohio,East North Central
Bronze,Termes Beer,Spearfish Brewing Co.,Spearfish,SD,American-Style Wheat Beer,2019,wheat,77047,North Central,South Dakota,West North Central
Gold,Australian For Pale,Green Cheek Beer Co.,Orange,CA,Australian-Style Pale Ale,2019,ale,158693,West,California,Pacific
Silver,Mountain Standard IPA,Odell Brewing Co.,Fort Collins,CO,Australian-Style Pale Ale,2019,ale,104247,West,Colorado,Mountain
Bronze,Pete's Stash,Vail Brewing Co. - Vail Village Pilot,Vail,CO,Australian-Style Pale Ale,2019,ale,104247,West,Colorado,Mountain
Gold,Snap Yo' Baltics,Freetail Brewing Co. - Brewpub,San Antonio,TX,Baltic-Style Porter,2019,porter,267339,South,Texas,West South Central
Gold,Old Diablo,Morgan Territory Brewing,Tracy,CA,Barley Wine-Style Ale,2019,ale,158693,West,California,Pacific
Silver,Freebooter Barleywine,Coronado Brewing Co.,Coronado,CA,Barley Wine-Style Ale,2019,ale,158693,West,California,Pacific
Bronze,Three Ryes Men,Reuben's Brews - The Taproom,Seattle,WA,Barley Wine-Style Ale,2019,ale,68192,West,Washington,Pacific
Gold,Junebug,Echo Brewing Co.,Erie,CO,Belgian- and French-Style Ale,2019,ale,104247,West,Colorado,Mountain
Silver,Swingin' Single,Piece Brewery,Chicago,IL,Belgian- and French-Style Ale,2019,ale,56400,North Central,Illinois,East North Central
Bronze,Industrial Gris,Resident Brewing Co.,San Diego,CA,Belgian- and French-Style Ale,2019,ale,158693,West,California,Pacific
Silver,Hell's Keep,Squatters Craft Beers,Salt Lake City,UT,Belgian-Style Blonde Ale or Pale Ale,2019,ale,84916,West,Utah,Mountain
Bronze,Suddenly a Saint,Moonraker Brewing Co.,Auburn,CA,Belgian-Style Blonde Ale or Pale Ale,2019,ale,158693,West,California,Pacific
Gold,Quad Damn It,Chicago Brewing Co. - Las Vegas,Las Vegas,NV,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019,ale,110540,West,Nevada,Mountain
Silver,SC3=A9r=C3=A9net=C3=A9 Grand Cru,Bruz Beers,Denver,CO,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019,ale,104247,West,Colorado,Mountain
Bronze,Sisters Quad,Bitter Sisters Brewing Co.,Addison,TX,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019,ale,267339,South,Texas,West South Central
Bronze,OB Bubble Dubbel,Kilowatt Brewing,San Diego,CA,Belgian-Style Dubbel,2019,other,158693,West,California,Pacific
Gold,Foxy Lady,Silver City Brewery,Bremerton,WA,Belgian-Style Fruit Beer,2019,fruit,68192,West,Washington,Pacific
Silver,All the Goodness,Gezellig Brewing Co.,Newton,IA,Belgian-Style Fruit Beer,2019,fruit,56290,North Central,Iowa,West North Central
Bronze,Cherry Valley Farmhouse,Heritage Hill Brewhouse & Kitchen,Pompey,NY,Belgian-Style Fruit Beer,2019,fruit,49576,Northeast,New York,Middle Atlantic
Gold,Get The Funk Out,Crooked Stave Artisan Beer Project,Denver,CO,Belgian-Style Lambic or Sour Ale,2019,ale,104247,West,Colorado,Mountain
Silver,Olly,Free Will Brewing Co.,Perkasie,PA,Belgian-Style Lambic or Sour Ale,2019,ale,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,Saison ApothC4=93ca<=/,Yeast of Eden,Carmel-By-The-Sea,CA,Belgian-Style Lambic or Sour Ale,2019,ale,158693,West,California,Pacific
Gold,Fu Fighter,Good River Beer,Denver,CO,Belgian-Style Pale Strong Ale,2019,ale,104247,West,Colorado,Mountain
Silver,Sandy Dunes Saison,River Bluff Brewing,St. Joseph,MO,Belgian-Style Pale Strong Ale,2019,ale,69686,North Central,Missouri,West North Central
Bronze,Stay Gold,Bluebird Brasserie,Sherman Oaks,CA,Belgian-Style Pale Strong Ale,2019,ale,158693,West,California,Pacific
Gold,Princeps Pacis,Save The World Brewing Co.,Marble Falls,TX,Belgian-Style Tripel,2019,other,267339,South,Texas,West South Central
Silver,Marvella,Red Rock Brewery - Production,Salt Lake City,UT,Belgian-Style Tripel,2019,other,84916,West,Utah,Mountain
Bronze,Triple-Whirl,217 Brew Works,Wilson,NC,Belgian-Style Tripel,2019,other,52586,South,North Carolina,South Atlantic
Gold,Way West Wit,Zuni Street Brewing Co.,Denver,CO,Belgian-Style Witbier,2019,witbier,104247,West,Colorado,Mountain
Silver,Boeman Belgian White,Ogopogo Brewing,San Gabriel,CA,Belgian-Style Witbier,2019,witbier,158693,West,California,Pacific
Bronze,Under a Blood Orange Sky,Temblor Brewing Co.,Bakersfield,CA,Belgian-Style Witbier,2019,witbier,158693,West,California,Pacific
Silver,Maibock,Dry Dock Brewing Co. - South Dock,Aurora,CO,Bock,2019,bock,104247,West,Colorado,Mountain
Bronze,Dunkel Bock,Pilot Brewing Co.,Charlotte,NC,Bock,2019,bock,52586,South,North Carolina,South Atlantic
Gold,Bohemian Shine,Castle Island Brewing Co.,Norwood,MA,Bohemian-Style Pilsener,2019,pilsener,8257,Northeast,Massachusetts,New England
Silver,Bo Pils,East Brother Beer Co.,Richmond,CA,Bohemian-Style Pilsener,2019,pilsener,158693,West,California,Pacific
Silver,St. Eldritch,Cellar Works Brewing Co.,Sarver,PA,Brett Beer,2019,other,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,C'Mon Sunshine,Birds Fly South Ale Project,Greenville,SC,Brett Beer,2019,other,31055,South,South Carolina,South Atlantic
Gold,Maduro Brown Ale,Cigar City Brewing,Tampa,FL,Brown Porter,2019,porter,58560,South,Florida,South Atlantic
Silver,Brown Claw,Kern River Brewing Co. - The Backyard,Kernville,CA,Brown Porter,2019,porter,158693,West,California,Pacific
Bronze,Honey Porter,Cape May Brewing Co. - Rio Grande,Cape May,NJ,Brown Porter,2019,porter,7836,Northeast,New Jersey,Middle Atlantic
Gold,Jalapeno Pineapple Pils,Brickway Brewery & Distillery,Omaha,NE,Chili Beer,2019,other,77227,North Central,Nebraska,West North Central
Silver,Bringin' Da Heat,Devil's Creek Brewery,Collingswood,NJ,Chili Beer,2019,other,7836,Northeast,New Jersey,Middle Atlantic
Bronze,Oyster Jalapeno Porter,Bull Island Brewing Co.,Hampton,VA,Chili Beer,2019,other,40815,South,Virginia,South Atlantic
Gold,Old Balltown Bulleit Bourbon Barrel Aged Salted Caramel Dark Chocolate Brownie Milk Stout,PIVO Brewery,Calmar,IA,Chocolate Beer,2019,flavored,56290,North Central,Iowa,West North Central
Silver,**Contains Chocolate**,Corporate Ladder Brewing Co.,Palmetto,FL,Chocolate Beer,2019,flavored,58560,South,Florida,South Atlantic
Gold,SeaSide Stout,Pizza Port - Solana Beach,Solana Beach,CA,Classic Irish-Style Dry Stout,2019,stout,158693,West,California,Pacific
Silver,Shooter McMunn's,Lost Rhino Brewing Co.,Ashburn,VA,Classic Irish-Style Dry Stout,2019,stout,40815,South,Virginia,South Atlantic
Bronze,O'Dark Thirty,6 Bears & A Goat Brewing Co.,Fredericksburg,VA,Classic Irish-Style Dry Stout,2019,stout,40815,South,Virginia,South Atlantic
Gold,Meadowlark,Metazoa Brewing Co.,Indianapolis,IN,Classic Saison,2019,saison,36291,North Central,Indiana,East North Central
Bronze,Gray Matter,Aspetuck Brew Lab,Bridgeport,CT,Classic Saison,2019,saison,5009,Northeast,Connecticut,New England
Gold,Duluth Coffee Pale Ale,Earth Rider Brewery,Superior,WI,Coffee Beer,2019,flavored,56154,North Central,Wisconsin,East North Central
Silver,Clear Sky Daybreak,Wolf's Ridge Brewing,Columbus,OH,Coffee Beer,2019,flavored,41222,North Central,Ohio,East North Central
Gold,There is No Cow Level,GameCraft Brewing,Laguna Hills,CA,Coffee Stout or Porter,2019,stout,158693,West,California,Pacific
Silver,Portola Breakfast Stout,Tustin Brewing Co.,Tustin,CA,Coffee Stout or Porter,2019,stout,158693,West,California,Pacific
Bronze,White Russian,SunUp Brewing Co.,Phoenix,AZ,Coffee Stout or Porter,2019,stout,113909,West,Arizona,Mountain
Silver,Are You Pricklish?,TaftE2=80=99s Brewing Co.,Louisville,KY,Collab,2019,other,40395,South,Kentucky,East South Central
Bronze,Willie Big Dog,Public Coast Brewing Company,Canon Beach,OR,Collab,2019,other,96981,West,Oregon,Pacific
Gold,Lazy River Pils,New Trail Brewing Co.,Williamsport,PA,Contemporary American-Style Pilsener,2019,pilsener,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Citra Pils,Saint Archer Brewing Co.,San Diego,CA,Contemporary American-Style Pilsener,2019,pilsener,158693,West,California,Pacific
Silver,Mimosa Gose,Pilot Brewing Co.,Charlotte,NC,Contemporary Gose,2019,other,52586,South,North Carolina,South Atlantic
Bronze,Galactic Minotaurt,True Vine Brewing Co.,Tyler,TX,Contemporary Gose,2019,other,267339,South,Texas,West South Central
Gold,Schnitzengiggles,New England Brewing Co.,Woodbridge,CT,Dortmunder or German-Style Oktoberfest,2019,other german-style,5009,Northeast,Connecticut,New England
Bronze,Chuckanut Fest Bier,Chuckanut Brewery - South Nut,Burlington,WA,Dortmunder or German-Style Oktoberfest,2019,other german-style,68192,West,Washington,Pacific
Gold,Station 101,Claremont Craft Ales,Claremont,CA,Double Hoppy Red Ale,2019,ale,158693,West,California,Pacific
Silver,Side Hike,Kern River Brewing Co.,Kernville,CA,Double Hoppy Red Ale,2019,ale,158693,West,California,Pacific
Bronze,Cannon Ball,Migration Brewing Co. - Glisan,Portland,OR,Double Hoppy Red Ale,2019,ale,96981,West,Oregon,Pacific
Gold,Pure Tropics,Parish Brewing Co.,Broussard,LA,Emerging India Pale Ale,2019,ale,48523,South,Louisiana,West South Central
Silver,Vladimir Brutin,Cannonball Creek Brewing Co.,Golden,CO,Emerging India Pale Ale,2019,ale,104247,West,Colorado,Mountain
Gold,Bobcat Brown Ale,Bridger Brewing,Bozeman,MT,English-Style Brown Ale,2019,ale,147138,West,Montana,Mountain
Silver,Eclipse Brown Ale,Equinox Brewing,Fort Collins,CO,English-Style Brown Ale,2019,ale,104247,West,Colorado,Mountain
Bronze,Mischievous Brown,Helltown Brewing,Export,PA,English-Style Brown Ale,2019,ale,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,Hoppy Poppy,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,CA,English-Style India Pale Ale,2019,ale,158693,West,California,Pacific
Gold,Hold The Reins,Brink Brewing Co.,Cincinnati,OH,English-Style Mild Ale,2019,ale,41222,North Central,Ohio,East North Central
Bronze,Saddle Bronc Brown,Black Tooth Brewing Co.,Sheridan,WY,English-Style Mild Ale,2019,ale,97914,West,Wyoming,Mountain
Gold,Ferment Pale Ale,Ferment Brewing Co.,Hood River,OR,English-Style or International-Style Pale Ale,2019,ale,96981,West,Oregon,Pacific
Silver,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,English-Style or International-Style Pale Ale,2019,ale,158693,West,California,Pacific
Bronze,Endless Summer Nights,Cloudburst Brewing,Seattle,WA,English-Style or International-Style Pale Ale,2019,ale,68192,West,Washington,Pacific
Gold,Organic California Blonde Ale,Eel River Brewing Co.,Scotia,CA,English-Style Summer Ale,2019,ale,158693,West,California,Pacific
Silver,Quid,Rhinegeist - Innovation Brewery,Cincinnati,OH,English-Style Summer Ale,2019,ale,41222,North Central,Ohio,East North Central
Bronze,Breakside Wentworth by the Sea,Breakside Brewery,Portland,OR,English-Style Summer Ale,2019,ale,96981,West,Oregon,Pacific
Gold,Fungus Shui,Meadowlark Brewing,Sidney,MT,Experimental Beer,2019,other,147138,West,Montana,Mountain
Silver,Shibbleshabble,Primitive Beer,Longmont,CO,Experimental Beer,2019,other,104247,West,Colorado,Mountain
Bronze,Fluffernutter,Kings Brewing Co.,Rancho Cucamonga,CA,Experimental Beer,2019,other,158693,West,California,Pacific
Gold,Correspondent,Wander Brewing,Bellingham,WA,Export Stout,2019,stout,68192,West,Washington,Pacific
Silver,Thor's Shadow Imperial Stout,Odin Brewing Co.,Tukwila,WA,Export Stout,2019,stout,68192,West,Washington,Pacific
Bronze,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Export Stout,2019,stout,49576,Northeast,New York,Middle Atlantic
Gold,ESB,Hillman Beer,Asheville,NC,Extra Special Bitter,2019,bitter,52586,South,North Carolina,South Atlantic
Silver,Bridgeview,Henderson Brewing Co.,Henderson,KY,Extra Special Bitter,2019,bitter,40395,South,Kentucky,East South Central
Bronze,Red Ale,The Vanguard Brewpub & Distillery,Hampton,VA,Extra Special Bitter,2019,bitter,40815,South,Virginia,South Atlantic
Gold,Scoring Discrepancies,Listermann Brewing Co.,Cincinnati,OH,Field Beer,2019,other,41222,North Central,Ohio,East North Central
Silver,Dessert Station: Cherry Almond Cookie,Corporate Ladder Brewing Co.,Palmetto,FL,Field Beer,2019,other,58560,South,Florida,South Atlantic
Bronze,Grandma's Pecan,The Dudes' Brewing Co.,Torrance,CA,Field Beer,2019,other,158693,West,California,Pacific
Gold,Fresh Hop Green Battles,Pinthouse Pizza North,Austin,TX,Fresh Hop Beer,2019,other,267339,South,Texas,West South Central
Silver,Hop Stalker,Fat Head's Brewery - Canton,Canton,OH,Fresh Hop Beer,2019,other,41222,North Central,Ohio,East North Central
Gold,Bitchin' Berry,Great Basin Brewing Co. - Production Facility,Reno,NV,Fruit Wheat Beer,2019,wheat,110540,West,Nevada,Mountain
Silver,Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Fruit Wheat Beer,2019,wheat,121666,West,New Mexico,Mountain
Bronze,Smash,10 Barrel Brewing Co.,Bend,OR,Fruit Wheat Beer,2019,wheat,96981,West,Oregon,Pacific
Silver,Hoochie Mama,Storm Peak Brewing Co.,Steamboat Springs,CO,Fruited American-Style Sour Ale,2019,ale,104247,West,Colorado,Mountain
Bronze,Sour Blackberry Raspberry,EdmundE2=80=99s Oast Brewing Co.,Charleston,SC,Fruited American-Style Sour Ale,2019,ale,31055,South,South Carolina,South Atlantic
Gold,Midnight Choir,Sun King Brewing,Indianapolis,IN,Fruited Wood- and Barrel-Aged Sour Beer,2019,aged,36291,North Central,Indiana,East North Central
Bronze,Rossano,Kings Brewing Co.,Rancho Cucamonga,CA,Fruited Wood- and Barrel-Aged Sour Beer,2019,aged,158693,West,California,Pacific
Silver,Howitzer Amber,Red Leg Brewing Co.,Colorado Springs,CO,German-Style Altbier,2019,altbier,104247,West,Colorado,Mountain
Bronze,Jeremy Altbier,The Royal Oak Brewery,Royal Oak,MI,German-Style Altbier,2019,altbier,58216,North Central,Michigan,East North Central
Silver,Black Lager,Bingo Beer Co.,Richmond,VA,German-Style Dark Lager,2019,lager,40815,South,Virginia,South Atlantic
